Row_ID,EM_ID,EM_Name,Dictionary_Param,User_Symptom_Keywords,EM_Default,EM_Min,EM_Max,Reasoning_Hint
1,EM_D1,Data Format Complexity,Data Format,"['SQL', 'database', 'cơ sở dữ liệu chuẩn', 'PostgreSQL', 'MySQL']",1.0,1.0,1.2,"Dữ liệu đã nằm trong RDBMS chuẩn, không cần ETL pipeline chuyển đổi."
2,EM_D1,Data Format Complexity,Data Format,"['API JSON', 'REST API', 'dữ liệu có cấu trúc', 'XML chuẩn']",1.02,1.0,1.2,"Dữ liệu có cấu trúc rõ ràng, chỉ cần adapter nhẹ."
3,EM_D1,Data Format Complexity,Data Format,"['Excel', 'file Excel', 'mỗi chi nhánh 1 file', 'Google Sheets', 'spreadsheet']",1.15,1.0,1.2,"Excel không chuẩn hóa, mỗi chi nhánh 1 format riêng → cần ETL pipeline chuyển đổi."
4,EM_D1,Data Format Complexity,Data Format,"['PDF', 'scan', 'giấy', 'viết tay', 'hình chụp', 'ảnh hóa đơn']",1.2,1.0,1.2,"PDF/scan → cần OCR + validation thủ công, tỷ lệ lỗi rất cao."
5,EM_D1,Data Format Complexity,Data Format,"['chưa biết', 'hỏi lại IT', 'để kiểm tra', 'không rõ format']",1.1,1.0,1.2,Không rõ format → dùng giá trị trung bình ngành. Cần xác nhận thêm.
6,EM_D2,Data Volume Scale,Data Volume,"['1-2 năm', 'vài trăm dòng', 'mới mở', 'startup', 'ít dữ liệu']",1.0,1.0,1.25,"Volume nhỏ, migration nhanh, không cần batch processing."
7,EM_D2,Data Volume Scale,Data Volume,"['2-3 năm', 'vài ngàn dòng', 'không nhiều lắm', 'dưới 10 ngàn']",1.05,1.0,1.25,"Volume vừa phải, migration standard, rủi ro thấp."
8,EM_D2,Data Volume Scale,Data Volume,"['5-10 năm', 'chục ngàn dòng', 'nhiều chi nhánh', 'lâu năm']",1.18,1.0,1.25,"Volume lớn → cần batch processing, dedup, phân trang migration."
9,EM_D2,Data Volume Scale,Data Volume,"['trên 10 năm', 'trăm ngàn dòng', 'cả triệu record', 'kho dữ liệu khổng lồ']",1.25,1.0,1.25,"Volume rất lớn → cần data warehouse strategy, incremental migration, parallel processing."
10,EM_D2,Data Volume Scale,Data Volume,"['chưa biết', 'hỏi lại IT', 'để kiểm tra', 'không rõ bao nhiêu']",1.12,1.0,1.25,Không rõ volume → dùng giá trị trung bình ngành (~5 năm dữ liệu).
11,EM_D3,Data Integrity Quality,Data Integrity,"['dữ liệu sạch', 'đã validate', 'có quy trình nhập', 'kiểm tra đầu vào']",1.0,1.0,1.15,"Dữ liệu đã có quy trình QA, ít lỗi, migration an toàn."
12,EM_D3,Data Integrity Quality,Data Integrity,"['tương đối gọn', 'có chuẩn nhập liệu', 'ít sai sót', 'đã audit']",1.03,1.0,1.15,Dữ liệu khá gọn nhưng có thể có edge case nhỏ.
13,EM_D3,Data Integrity Quality,Data Integrity,"['dữ liệu rác', 'trùng lặp', 'thiếu trường', 'nhập lung tung', 'mỗi người nhập 1 kiểu']",1.12,1.0,1.15,Dữ liệu bẩn → cần cleansing pipeline + dedup + manual review.
14,EM_D3,Data Integrity Quality,Data Integrity,"['không ai quản lý', 'chưa bao giờ dọn', 'sai be bét', 'data mấy đời rồi']",1.15,1.0,1.15,Dữ liệu cực rác → phải build data profiling + cleansing + manual validation.
15,EM_D3,Data Integrity Quality,Data Integrity,"['chưa biết', 'hỏi lại IT', 'không rõ chất lượng', 'để kiểm tra lại']",1.07,1.0,1.15,"Không rõ chất lượng → giả định trung bình, cần data profiling trước khi xác nhận."
16,EM_I1,API Availability,API Availability,"['có API', 'mở cổng sẵn', 'REST API', 'có tài liệu API', 'webhook']",1.0,1.0,1.2,"API sẵn có, tài liệu đầy đủ → tích hợp nhanh, ít rủi ro."
17,EM_I1,API Availability,API Availability,"['có file export', 'xuất được CSV', 'có báo cáo tự động', 'export JSON']",1.05,1.0,1.2,Không có API trực tiếp nhưng có cơ chế export → cần adapter layer nhẹ.
18,EM_I1,API Availability,API Availability,"['đóng hoàn toàn', 'không cho kết nối', 'vendor lock-in', 'hệ thống đóng']",1.18,1.0,1.2,Hệ thống đóng kín → phải reverse-engineer hoặc screen scraping.
